no1,no2
32,112
112,32
27,96
96,27
14,52
52,14
70,86
86,70
49,106
91,106
106,49
106,91
106,114
114,106
28,133
55,133
133,28
133,55
86,122
122,86
124,132
132,124
85,132
132,85
70,122
122,70
49,111
91,111
111,49
111,91
111,114
114,111
8,107
82,107
107,8
107,82
93,98
98,93
63,124
103,124
124,63
124,103
20,60
20,64
38,60
38,64
57,60
57,64
60,20
60,38
60,57
64,20
64,38
64,57
106,111
111,106
49,99
85,124
91,99
99,49
99,91
99,114
114,99
124,85
81,88
88,81
72,97
97,72
27,72
72,27
72,96
96,72
27,80
80,27
60,125
125,60
20,125
38,125
57,125
60,64
64,60
125,20
125,38
125,57
99,106
106,99
63,132
103,132
132,63
132,103
52,117
117,52
80,96
96,80
20,110
38,110
57,110
110,20
110,38
110,57
58,78
78,58
14,117
117,14
15,119
119,15
70,117
117,70
58,128
128,58
83,88
88,83
99,111
111,99
67,76
76,67
75,80
80,75
80,97
97,80
72,80
80,72
86,117
117,86
8,83
82,83
83,8
83,82
21,70
70,21
110,125
125,110
63,85
85,63
85,103
103,85
30,63
30,103
63,30
103,30
78,128
128,78
27,97
97,27
27,75
75,27
81,83
83,81
21,86
86,21
30,124
124,30
117,122
122,117
96,97
97,96
30,132
75,96
96,75
132,30
83,107
107,83
30,93
93,30
13,137
137,13
19,32
32,19
64,125
125,64
21,122
122,21
8,88
14,70
19,112
70,14
82,88
88,8
88,82
112,19
59,130
130,59
30,98
98,30
60,110
64,110
110,60
110,64
7,70
70,7
70,120
120,70
8,81
81,8
81,82
82,81
52,70
70,52
42,112
112,42
21,117
117,21
68,92
92,68
72,77
77,72
21,97
97,21
14,86
86,14
86,111
111,86
86,97
97,86
32,42
42,32
0,13
13,0
62,77
77,62
1,36
36,1
21,58
58,21
33,69
69,33
0,115
115,0
13,27
27,13
7,86
7,122
13,80
80,13
86,7
86,120
120,86
120,122
122,7
122,120
88,107
107,88
69,80
80,69
42,97
97,42
72,136
77,97
97,77
136,72
20,58
30,85
38,58
57,58
58,20
58,38
58,57
85,30
13,21
21,13
52,86
86,52
21,69
69,21
63,93
93,63
93,103
103,93
0,27
27,0
72,75
75,72
13,96
96,13
27,33
33,27
46,70
70,46
70,111
111,70
42,72
72,42
70,97
97,70
13,97
13,136
48,126
69,97
81,107
97,13
97,69
97,117
97,122
107,81
117,97
122,97
126,48
136,13
70,80
80,70
21,80
80,21
33,96
96,33
58,125
125,58
0,96
7,47
13,50
47,7
47,120
50,13
96,0
120,47
14,46
46,14
19,67
67,19
12,70
23,70
63,98
70,12
70,23
98,63
98,103
103,98
47,70
70,47
58,64
64,58
13,72
27,36
36,27
72,13
0,136
7,53
53,7
53,120
120,53
136,0
12,117
23,117
117,12
117,23
62,72
72,62
69,70
70,69
89,134
134,89
1,11
11,1
27,136
136,27
115,129
129,115
42,80
80,42
69,117
117,69
67,119
119,67
33,80
80,33
30,92
92,30
7,56
7,123
21,46
46,21
56,7
56,120
120,56
120,123
123,7
123,120
66,137
137,66
36,96
96,36
97,100
100,97
12,33
23,33
33,12
33,23
46,52
52,46
42,67
67,42
28,99
55,99
94,111
99,28
99,55
111,94
14,122
21,75
27,58
46,86
46,117
58,27
75,21
86,46
111,117
111,122
117,46
117,111
122,14
122,111
96,136
136,96
77,80
80,77
56,117
117,56
117,123
123,117
21,27
27,21
80,125
125,80
13,33
33,13
97,136
136,97
53,56
53,123
56,53
86,99
99,86
123,53
80,86
80,117
86,80
117,80
33,137
137,33
27,69
69,27
6,88
12,86
23,86
86,12
86,23
88,6
115,136
136,115
58,96
75,97
86,129
96,58
97,75
129,86
33,136
99,133
133,99
136,33
46,75
75,46
9,101
25,101
43,101
101,9
101,25
101,43
19,42
42,19
21,96
47,86
47,117
86,47
96,21
117,47
46,80
52,122
80,46
122,52
28,49
28,91
28,114
49,28
49,55
55,49
55,91
55,114
91,28
91,55
114,28
114,55
69,86
86,69
45,97
69,96
96,69
97,45
7,111
21,137
111,7
111,120
120,111
137,21
64,117
117,64
14,21
21,14
21,128
49,86
86,49
86,91
86,114
91,86
114,86
128,21
56,70
70,56
70,123
123,70
12,80
23,80
80,12
80,23
7,71
71,7
71,120
120,71
33,45
45,33
50,70
70,50
70,75
75,70
12,58
23,58
58,12
58,23
6,127
13,36
36,13
49,94
69,136
72,130
76,119
91,94
94,49
94,91
94,114
114,94
119,76
127,6
130,72
136,69
12,21
21,12
21,23
23,21
76,117
117,76
27,70
56,122
58,70
70,27
70,58
122,56
122,123
123,122
70,99
99,70
49,133
91,133
114,133
133,49
133,91
133,114
15,67
67,15
67,70
70,67
93,124
124,93
50,122
70,129
122,50
129,70
14,64
64,14
28,102
55,102
102,28
102,55
12,69
23,69
69,12
69,23
80,122
122,80
21,72
27,125
72,21
125,27
7,28
7,55
20,78
28,7
28,120
38,78
55,7
55,120
57,78
78,20
78,38
78,57
86,130
120,28
120,55
122,130
130,86
130,122
27,117
33,97
42,136
58,117
97,33
117,27
117,58
136,42
67,117
117,67
62,101
101,62
128,137
137,128
7,117
60,80
69,72
72,69
72,86
80,60
86,72
117,7
117,120
120,117
122,129
129,122
70,96
96,70
14,56
14,123
21,52
46,56
46,123
52,21
56,14
56,46
59,90
90,59
123,14
123,46
0,36
36,0
72,100
100,72
88,127
127,88
12,20
12,38
12,57
12,128
20,12
20,23
23,20
23,38
23,57
23,128
27,42
38,12
38,23
42,27
57,12
57,23
128,12
128,23
14,80
49,70
70,49
70,91
70,114
80,14
80,136
91,70
96,125
114,70
125,96
136,80
112,119
119,112
39,50
50,39
96,117
117,96
15,76
42,119
76,15
119,42
36,72
72,36
70,76
76,70
14,58
50,75
58,14
75,50
13,69
33,58
50,80
58,33
69,13
80,50
97,125
125,97
11,58
58,11
98,124
124,98
7,46
46,7
46,120
52,64
64,52
78,125
120,46
125,78
33,72
52,97
72,33
97,52
21,33
33,21
42,96
96,42
69,76
76,69
28,106
55,106
106,28
106,55
21,50
46,122
50,21
86,106
106,86
122,46
33,117
56,86
86,56
86,123
117,33
123,86
12,47
23,47
47,12
47,23
12,122
23,122
122,12
122,23
30,49
30,91
30,114
49,30
91,30
114,30
64,78
70,130
78,64
130,70
0,21
21,0
52,56
52,123
56,52
123,52
50,86
69,75
70,72
72,70
75,69
75,86
75,122
86,50
86,75
122,75
32,119
67,86
67,122
86,67
119,32
122,67
7,21
7,99
12,64
12,97
13,66
14,97
21,7
21,120
21,129
23,64
23,97
27,86
30,111
52,80
58,86
64,12
64,23
66,13
71,88
80,52
86,27
86,58
88,71
93,99
97,12
97,14
97,23
99,7
99,93
99,120
100,111
111,30
111,100
120,21
120,99
129,21
15,112
67,112
112,15
112,67
72,117
72,122
117,72
122,72
13,75
52,58
58,52
75,13
99,122
122,99
106,133
133,106
3,72
72,3
94,106
106,94
12,46
12,111
23,46
23,111
46,12
46,23
69,122
111,12
111,23
122,69
47,122
64,70
70,64
122,47
13,58
27,60
58,13
58,60
60,27
60,58
14,20
14,38
14,57
14,111
20,14
21,77
38,14
57,14
77,21
111,14
12,67
23,67
67,12
67,23
78,115
115,78
8,71
71,8
71,82
77,130
82,71
130,77
86,96
96,86
20,80
33,50
38,80
50,33
57,80
80,20
80,38
80,57
19,119
119,19
46,50
50,46
58,94
94,58
21,76
76,21
7,34
34,7
34,120
120,34
70,106
106,70
0,1
1,0
21,36
21,78
36,21
63,92
78,21
92,63
92,103
103,92
76,86
76,122
86,76
122,76
3,97
7,49
7,91
7,114
7,133
49,7
49,120
91,7
91,120
97,3
114,7
114,120
120,49
120,91
120,114
120,133
133,7
133,120
1,21
1,118
21,1
102,133
118,1
133,102
15,32
21,67
32,15
32,67
67,21
67,32
0,80
27,50
42,77
49,117
49,122
50,27
60,96
77,42
80,0
91,117
91,122
96,60
114,117
114,122
117,49
117,91
117,114
122,49
122,91
122,114
12,125
23,125
125,12
125,23
7,14
14,7
14,120
120,14
42,76
67,69
69,67
76,42
46,99
62,80
80,62
99,46
33,125
46,69
69,46
125,33
62,75
75,62
14,47
14,125
47,14
125,14
125,128
128,125
12,42
23,42
42,12
42,23
3,33
6,83
28,111
33,3
47,119
55,111
83,6
111,28
111,55
119,47
86,115
115,86
115,122
122,115
11,118
118,11
19,76
76,19
27,122
58,69
69,58
122,27
0,72
11,117
20,52
38,52
52,20
52,38
52,57
52,111
57,52
72,0
111,52
117,11
35,92
92,35
0,117
33,64
45,72
46,97
50,96
64,33
72,45
96,50
97,46
117,0
12,78
23,78
78,12
78,23
14,60
58,110
60,14
110,58
15,19
19,15
21,47
47,21
117,129
129,117
93,132
132,93
21,130
53,133
75,77
77,75
130,21
133,53
72,125
80,100
97,115
100,80
115,97
125,72
13,70
47,69
58,97
69,47
70,13
97,58
8,111
29,77
33,119
34,111
77,29
77,79
79,77
82,111
99,102
102,99
111,8
111,34
111,82
119,33
14,49
14,91
14,114
27,77
49,14
77,27
91,14
111,133
114,14
117,130
130,117
133,111
0,97
27,64
33,128
64,27
97,0
128,33
0,76
12,29
12,79
23,29
23,79
29,12
29,23
76,0
79,12
79,23
96,122
122,96
42,86
86,42
63,99
81,121
99,63
99,103
103,99
121,81
30,106
106,30
7,52
18,86
27,100
36,50
50,36
52,7
52,120
86,18
100,27
120,52
33,75
75,33
33,70
70,33
12,45
23,45
45,12
45,23
7,12
7,23
8,68
12,7
12,120
14,75
23,7
23,120
33,66
36,58
47,52
52,47
52,125
58,36
62,97
64,69
64,86
66,33
68,8
68,82
69,64
70,128
71,107
75,14
75,101
77,86
82,68
86,64
86,77
97,62
101,75
107,71
120,12
120,23
125,52
128,70
21,56
21,123
56,21
58,80
80,58
123,21
13,125
14,27
20,27
27,14
27,20
27,38
27,46
27,57
38,27
46,27
46,58
57,27
58,46
58,111
86,100
100,86
100,117
111,58
117,100
125,13
7,127
97,130
115,128
120,127
127,7
127,120
128,115
130,97
11,36
11,78
36,11
71,127
78,11
127,71
3,130
83,127
127,83
130,3
12,110
13,42
23,110
42,13
45,80
80,45
110,12
110,23
64,96
70,115
96,64
115,70
58,137
59,86
59,122
77,96
86,59
92,124
96,77
122,59
124,92
137,58
1,27
7,8
7,82
8,7
8,120
11,46
27,1
46,11
82,7
82,120
120,8
120,82
0,70
20,117
38,117
47,56
47,123
56,47
57,117
70,0
106,117
106,122
117,20
117,38
117,57
117,106
122,106
123,47
6,8
6,82
8,6
82,6
7,106
11,70
46,129
52,60
60,52
70,11
86,94
94,86
96,100
100,96
106,7
106,120
120,106
129,46
0,137
98,132
132,98
137,0
50,69
50,117
69,50
75,117
117,50
117,75
0,58
13,60
21,115
46,47
46,125
47,46
47,111
