no1,no2
341,105
360,397
233,393
44,148
73,238
407,357
399,141
205,181
272,125
320,50
237,414
19,119
92,428
363,272
106,231
384,192
188,366
199,143
8,40
364,146
28,368
199,67
343,117
95,189
215,425
61,196
244,261
34,234
403,121
253,288
104,68
104,369
48,385
218,277
423,61
25,361
28,55
349,429
388,347
95,395
150,146
423,48
61,425
42,384
388,185
413,133
360,84
253,397
111,223
309,11
336,373
196,208
354,280
157,424
342,216
422,121
414,36
424,372
19,386
156,299
365,196
219,42
240,191
283,352
13,313
56,245
63,148
140,196
7,248
83,76
154,81
345,100
395,134
362,17
47,406
188,232
73,90
396,131
304,157
402,363
67,80
384,84
70,141
196,95
12,106
33,148
168,316
131,204
366,1
219,122
272,361
285,314
183,366
123,391
231,308
154,85
415,423
19,269
290,37
219,95
297,33
247,55
22,199
27,135
230,159
108,392
24,66
196,290
227,146
409,37
254,331
196,416
222,332
419,10
141,152
225,144
112,290
290,1
209,401
82,261
406,404
314,38
192,94
38,421
27,138
371,333
127,386
133,315
63,162
17,292
297,269
33,76
174,145
123,265
290,9
34,113
219,205
250,304
209,115
21,162
144,241
365,40
224,223
388,148
312,266
215,302
3,332
61,384
286,182
55,392
189,414
422,35
12,179
326,253
222,133
82,390
35,410
17,293
94,149
106,388
242,98
131,110
112,277
226,90
24,101
46,240
401,280
39,80
195,189
156,151
388,253
175,46
424,328
52,199
377,270
128,162
423,331
92,384
12,3
179,354
167,292
40,137
56,133
176,81
194,363
11,428
91,229
141,360
41,359
337,332
225,176
425,342
186,188
2,422
141,268
242,174
295,13
360,192
65,321
55,66
107,378
391,259
105,138
244,389
378,149
87,360
37,289
36,279
95,186
367,7
112,149
149,221
38,113
179,25
73,331
313,301
362,381
266,144
43,341
337,287
9,226
261,82
134,196
63,324
219,157
232,173
26,151
134,209
166,410
54,192
255,285
162,225
164,160
247,423
166,369
12,100
231,397
118,7
222,363
52,78
367,119
2,121
141,86
379,312
114,225
392,365
365,406
393,245
157,365
233,349
349,265
206,337
294,186
8,4
131,253
73,138
140,376
42,360
287,254
333,118
227,178
41,356
105,123
98,361
115,206
76,131
55,174
328,121
131,57
155,424
187,215
145,101
222,245
4,261
226,99
292,64
40,25
49,180
340,181
40,62
16,288
242,276
139,56
66,44
368,164
337,366
92,208
280,428
271,332
205,188
213,2
75,363
40,333
142,310
268,103
407,75
79,227
147,419
223,144
205,341
211,221
423,365
104,341
48,388
117,289
303,402
133,264
246,68
209,116
222,270
375,362
76,115
277,206
389,244
19,260
135,305
22,315
115,123
193,327
253,131
218,88
166,250
315,139
8,186
429,267
109,393
315,118
103,7
221,428
64,373
280,3
262,430
139,109
238,192
149,112
20,46
395,50
130,192
157,423
46,410
222,108
25,98
114,128
347,151
196,105
349,402
304,399
248,3
36,218
84,28
32,240
76,297
257,323
192,149
264,57
65,19
364,384
30,429
187,277
170,67
52,262
313,115
160,331
246,98
95,416
364,101
275,24
223,349
141,104
57,317
242,391
130,73
317,78
78,236
145,375
398,90
205,421
71,42
4,155
108,283
168,318
341,68
215,346
413,50
333,363
224,187
139,40
119,19
395,317
285,427
51,192
269,94
198,129
286,391
303,55
428,318
396,9
133,402
296,19
387,244
255,302
195,292
262,35
151,46
225,323
427,85
40,196
240,297
160,406
303,395
26,373
26,158
122,42
385,54
242,105
217,64
89,252
42,359
94,363
97,63
138,71
255,48
303,146
310,175
120,275
373,300
409,61
69,198
186,50
46,151
200,223
366,399
184,129
246,341
226,169
40,205
78,83
36,224
14,24
145,381
115,326
49,257
392,373
131,423
179,57
292,162
35,27
149,192
227,39
91,312
259,359
346,404
396,253
172,113
25,354
416,305
337,81
396,410
418,301
215,269
55,204
192,360
340,150
139,133
236,233
306,168
17,29
389,425
19,182
75,57
41,119
223,123
328,428
88,293
229,392
195,155
44,97
355,29
92,327
134,219
421,246
276,332
151,270
202,114
247,236
51,397
421,359
256,240
131,398
12,415
277,219
336,181
131,33
206,131
55,406
242,279
232,37
296,303
314,91
121,422
319,362
192,328
2,306
183,283
225,92
399,383
54,119
195,257
175,391
214,414
123,366
141,200
132,29
426,65
189,312
26,185
104,141
242,143
269,280
317,212
325,261
187,267
388,421
80,283
306,355
156,142
71,188
219,365
415,320
87,277
37,203
175,310
253,76
206,277
193,383
326,185
133,56
295,364
235,75
331,347
179,86
204,278
131,281
20,385
251,180
402,212
337,315
84,314
121,19
170,261
203,141
312,362
333,282
57,299
148,224
308,163
38,227
185,33
225,266
123,181
161,131
134,405
175,379
277,87
219,50
345,293
247,157
47,167
6,399
82,374
51,346
18,57
247,315
157,186
211,98
114,64
75,264
121,244
214,212
223,203
36,106
169,313
379,320
429,299
27,224
7,363
407,238
45,127
71,366
40,18
429,7
188,269
418,52
112,232
391,25
98,19
301,418
15,384
418,112
283,215
272,175
404,19
156,383
395,366
169,407
140,268
325,73
54,368
224,127
133,178
362,110
258,40
392,35
240,131
95,157
224,19
275,119
61,205
157,55
374,300
363,163
163,402
309,224
395,196
121,356
294,33
318,81
45,341
97,38
52,403
325,390
206,253
379,46
298,279
195,115
232,396
221,305
42,152
2,213
149,376
280,376
188,61
161,267
21,187
232,366
135,126
414,293
342,424
244,168
92,251
314,304
1,345
369,325
67,255
326,33
371,41
193,141
152,141
312,189
193,347
134,290
359,219
230,144
401,231
425,404
410,388
297,413
220,225
386,409
401,185
195,206
41,200
412,380
286,196
238,407
75,348
354,179
162,323
89,283
359,40
414,330
151,373
88,191
141,202
8,404
156,176
118,391
330,319
160,219
269,192
231,324
116,280
25,186
80,9
232,337
366,215
290,396
155,58
